[HUAWEI-diagnose]
display configuration diagnostic-information fsm cfg process 6 | no-more

*************************************BEGIN*************************************
The cfg fsm information: 
RunTime                            CurState                                    Event                                          ActionRslt NewState
2023-08-07 14:16:58.610            CFG_STATUS_UNKNOWN                          CFG_COMP_EVENT_COMP_CONSTRUCT_OVER             0x00000000 CFG_COMP_STATE_INIT                 
2023-08-07 14:16:58.667            CFG_COMP_STATE_INIT                         CFG_COMP_EVENT_STARTWORK_NOTIFY                0x00000000 CFG_COMP_STATE_SUBSCRIBE_WAIT       
2023-08-07 14:16:58.848            CFG_COMP_STATE_SUBSCRIBE_WAIT               CFG_COMP_EVENT_ADM_SUBSCRIBE_NOTIFY            0x00000000 CFG_COMP_STATE_SUBSCRIBE_WAIT       
2023-08-07 14:16:59.154            CFG_COMP_STATE_SUBSCRIBE_WAIT               CFG_COMP_EVENT_DBMS_SUBSCRIBE_NOTIFY           0x00000000 CFG_COMP_STATE_SUBSCRIBE_WAIT       
2023-08-07 14:17:00.215            CFG_COMP_STATE_SUBSCRIBE_WAIT               CFG_COMP_EVENT_ECM_SUBSCRIBE_NOTIFY            0x00000000 CFG_COMP_STATE_CONNECT_WAIT         
2023-08-07 14:17:00.215            CFG_COMP_STATE_CONNECT_WAIT                 CFG_COMP_EVENT_ADM_CONNECT_NOTIFY              0x008002e7 CFG_COMP_STATE_CONNECT_WAIT         
2023-08-07 14:17:00.215            CFG_COMP_STATE_CONNECT_WAIT                 CFG_COMP_EVENT_DBMS_CONNECT_NOTIFY             0x008002e7 CFG_COMP_STATE_CONNECT_WAIT         
2023-08-07 14:17:00.218            CFG_COMP_STATE_CONNECT_WAIT                 CFG_COMP_EVENT_ECM_CONNECT_NOTIFY              0x008002e7 CFG_COMP_STATE_CONNECT_WAIT         
2023-08-07 14:17:00.611            CFG_COMP_STATE_CONNECT_WAIT                 CFG_COMP_EVENT_BUILDRUN_RESTORE_CONNECT_OVER   0x00000000 CFG_COMP_STATE_BUILDRUN_AUTOEXEC_WAIT
2023-08-07 14:17:04.755            CFG_COMP_STATE_BUILDRUN_AUTOEXEC_WAIT       CFG_COMP_EVENT_AUTOEXECBEFORE_OVER_SMALLSYS_DEVICESYS  0x00000000 CFG_COMP_STATE_BUILDRUN_RESTORE_WAIT
2023-08-07 14:17:05.613            CFG_COMP_STATE_BUILDRUN_RESTORE_WAIT        CFG_COMP_EVENT_SMALLSYS_BUILDRUN_RESTORE_OVER  0x00000000 CFG_COMP_STATE_ADM_DATA_READY_WAIT_SMALLSYS
2023-08-07 14:17:05.629            CFG_COMP_STATE_ADM_DATA_READY_WAIT_SMALLSYS  CFG_COMP_EVENT_ADM_DATA_READY_OVER             0x00000000 CFG_COMP_STATE_SMALLSYS_RUNNING     
2023-08-07 14:17:31.984            CFG_COMP_STATE_SMALLSYS_RUNNING             CFG_COMP_EVENT_DEVICE_RESTORE_BEGIN            0x00000000 CFG_COMP_STATE_DEVICE_RESTORE       
2023-08-07 14:17:32.199            CFG_COMP_STATE_DEVICE_RESTORE               CFG_COMP_EVENT_DEVICE_RESTORE_OVER_BUILDRUN    0x00000000 CFG_COMP_STATE_BUILDRUN_RESTORE_WAIT
2023-08-07 14:17:39.382            CFG_COMP_STATE_BUILDRUN_RESTORE_WAIT        CFG_COMP_EVENT_BUILDRUN_RESTORE_OVER           0x00000000 CFG_COMP_STATE_AUTOEXEC_WAIT        
2023-08-07 14:17:40.837            CFG_COMP_STATE_AUTOEXEC_WAIT                CFG_COMP_EVENT_AUTOEXEC_OVER_NORMAL            0x00000000 CFG_COMP_STATE_ADM_DATA_READY_WAIT  
2023-08-07 14:17:40.851            CFG_COMP_STATE_ADM_DATA_READY_WAIT          CFG_COMP_EVENT_AUTOEXEC_OVER_NORMAL            0x008002e7 CFG_COMP_STATE_ADM_DATA_READY_WAIT  
2023-08-07 14:17:40.857            CFG_COMP_STATE_ADM_DATA_READY_WAIT          CFG_COMP_EVENT_ADM_DATA_READY_OVER             0x00000000 CFG_COMP_STATE_DBMS_DATA_READY_WAIT 
2023-08-07 14:17:40.891            CFG_COMP_STATE_DBMS_DATA_READY_WAIT         CFG_COMP_EVENT_DBMS_DATA_READY_OVER            0x00000000 CFG_COMP_STATE_DATA_READY           
2023-08-07 14:18:28.536            CFG_COMP_STATE_DATA_READY                   CFG_COMP_EVENT_FIRST_BUILDRUN_BEGIN            0x00000000 CFG_COMP_STATE_FIRST_BUILDRUN_WAIT  
2023-08-07 14:18:37.332            CFG_COMP_STATE_FIRST_BUILDRUN_WAIT          CFG_COMP_EVENT_DBMS_DATA_READY_OVER            0x00000000 CFG_COMP_STATE_SYSTEM_INIT_READY_AUTOEXEC_WAIT
2023-08-07 14:18:37.353            CFG_COMP_STATE_SYSTEM_INIT_READY_AUTOEXEC_WAIT  CFG_COMP_EVENT_AUTOEXEC_OVER_NORMAL            0x00000000 CFG_COMP_STATE_DATA_READY           

*************************************END***************************************
[HUAWEI-diagnose]
